Número,Município,Mesorregiões
191,Flórida,Norte Central Paranaense
192,Godoy Moreira,Norte Central Paranaense
193,Grandes Rios,Norte Central Paranaense
194,Guaraci,Norte Central Paranaense
195,Ibiporã,Norte Central Paranaense
196,Iguaraçu,Norte Central Paranaense
197,Itaguajé,Norte Central Paranaense
198,Itambé,Norte Central Paranaense
199,Ivaiporã,Norte Central Paranaense
200,Ivatuba,Norte Central Paranaense
201,Jaguapitã,Norte Central Paranaense
202,Jandaia do Sul,Norte Central Paranaense
203,Jardim Alegre,Norte Central Paranaense
204,Kaloré,Norte Central Paranaense
205,Lidianópolis,Norte Central Paranaense
206,Lobato,Norte Central Paranaense
207,Londrina,Norte Central Paranaense
208,Lunardelli,Norte Central Paranaense
209,Lupionópolis,Norte Central Paranaense
210,Mandaguaçu,Norte Central Paranaense
211,Mandaguari,Norte Central Paranaense
212,Manoel Ribas,Norte Central Paranaense
213,Marialva,Norte Central Paranaense
214,Marilândia do Sul,Norte Central Paranaense
215,Maringá,Norte Central Paranaense
216,Marumbi,Norte Central Paranaense
217,Mauá da Serra,Norte Central Paranaense
218,Miraselva,Norte Central Paranaense
219,Munhoz de Melo,Norte Central Paranaense
220,Nossa Senhora das Graças,Norte Central Paranaense
221,Nova Esperança,Norte Central Paranaense
222,Nova Tebas,Norte Central Paranaense
223,Novo Itacolomi,Norte Central Paranaense
224,Ourizona,Norte Central Paranaense
225,Paiçandu,Norte Central Paranaense
226,Pitangueiras,Norte Central Paranaense
227,Porecatu,Norte Central Paranaense
228,Prado Ferreira,Norte Central Paranaense
229,Presidente Castelo Branco,Norte Central Paranaense
230,Primeiro de Maio,Norte Central Paranaense
231,Rio Bom,Norte Central Paranaense
232,Rio Branco do Ivaí,Norte Central Paranaense
233,Rolândia,Norte Central Paranaense
234,Rosário do Ivaí,Norte Central Paranaense
235,Sabáudia,Norte Central Paranaense
236,Santa Fé,Norte Central Paranaense
237,Santa Inês,Norte Central Paranaense
238,Santo Inácio,Norte Central Paranaense
239,São João do Ivaí,Norte Central Paranaense
240,São Jorge do Ivaí,Norte Central Paranaense
241,São Pedro do Ivaí,Norte Central Paranaense
242,Sarandi,Norte Central Paranaense
243,Sertanópolis,Norte Central Paranaense
244,Tamarana,Norte Central Paranaense
245,Uniflor,Norte Central Paranaense
246,Abatiá,Norte Pioneiro Paranaense
247,Andirá,Norte Pioneiro Paranaense
248,Assaí,Norte Pioneiro Paranaense
249,Bandeirantes,Norte Pioneiro Paranaense
250,Barra do Jacaré,Norte Pioneiro Paranaense
251,Cambará,Norte Pioneiro Paranaense
252,Carlópolis,Norte Pioneiro Paranaense
253,Congonhinhas,Norte Pioneiro Paranaense
254,Conselheiro Mairinck,Norte Pioneiro Paranaense
255,Cornélio Procópio,Norte Pioneiro Paranaense
256,Curiúva,Norte Pioneiro Paranaense
257,Figueira,Norte Pioneiro Paranaense
258,Guapirama,Norte Pioneiro Paranaense
259,Ibaiti,Norte Pioneiro Paranaense
260,Itambaracá,Norte Pioneiro Paranaense
261,Jaboti,Norte Pioneiro Paranaense
262,Jacarezinho,Norte Pioneiro Paranaense
263,Japira,Norte Pioneiro Paranaense
264,Jataizinho,Norte Pioneiro Paranaense
265,Joaquim Távora,Norte Pioneiro Paranaense
266,Jundiaí do Sul,Norte Pioneiro Paranaense
267,Leópolis,Norte Pioneiro Paranaense
268,Nova América da Colina,Norte Pioneiro Paranaense
269,Nova Fátima,Norte Pioneiro Paranaense
270,Nova Santa Bárbara,Norte Pioneiro Paranaense
271,Pinhalão,Norte Pioneiro Paranaense
272,Quatiguá,Norte Pioneiro Paranaense
273,Rancho Alegre,Norte Pioneiro Paranaense
274,Ribeirão Claro,Norte Pioneiro Paranaense
275,Ribeirão do Pinhal,Norte Pioneiro Paranaense
276,Salto do Itararé,Norte Pioneiro Paranaense
277,Santa Amélia,Norte Pioneiro Paranaense
278,Santa Cecília do Pavão,Norte Pioneiro Paranaense
279,Santa Mariana,Norte Pioneiro Paranaense
280,Santana do Itararé,Norte Pioneiro Paranaense
281,Santo Antônio da Platina,Norte Pioneiro Paranaense
282,Santo Antônio do Paraíso,Norte Pioneiro Paranaense
283,São Jerônimo da Serra,Norte Pioneiro Paranaense
284,São José da Boa Vista,Norte Pioneiro Paranaense
285,São Sebastião da Amoreira,Norte Pioneiro Paranaense
286,Sapopema,Norte Pioneiro Paranaense
287,Sertaneja,Norte Pioneiro Paranaense
288,Siqueira Campos,Norte Pioneiro Paranaense
289,Tomazina,Norte Pioneiro Paranaense
290,Uraí,Norte Pioneiro Paranaense
291,Wenceslau Braz,Norte Pioneiro Paranaense
292,Anahy,Oeste Paranaense
293,Assis Chateaubriand,Oeste Paranaense
294,Boa Vista da Aparecida,Oeste Paranaense
295,Braganey,Oeste Paranaense
296,Cafelândia,Oeste Paranaense
297,Campo Bonito,Oeste Paranaense
298,Capitão Leônidas Marques,Oeste Paranaense
299,Cascavel,Oeste Paranaense
300,Catanduvas,Oeste Paranaense
301,Céu Azul,Oeste Paranaense
302,Corbélia,Oeste Paranaense
303,Diamante do Sul,Oeste Paranaense
304,Diamante D'Oeste,Oeste Paranaense
305,Entre Rios do Oeste,Oeste Paranaense
306,Formosa do Oeste,Oeste Paranaense
307,Foz do Iguaçu,Oeste Paranaense
308,Guaíra,Oeste Paranaense
309,Guaraniaçu,Oeste Paranaense
310,Ibema,Oeste Paranaense
311,Iguatu,Oeste Paranaense
312,Iracema do Oeste,Oeste Paranaense
313,Itaipulândia,Oeste Paranaense
314,Jesuítas,Oeste Paranaense
315,Lindoeste,Oeste Paranaense
316,Marechal Cândido Rondon,Oeste Paranaense
317,Maripá,Oeste Paranaense
318,Matelândia,Oeste Paranaense
319,Medianeira,Oeste Paranaense
320,Mercedes,Oeste Paranaense
321,Missal,Oeste Paranaense
322,Nova Aurora,Oeste Paranaense
323,Nova Santa Rosa,Oeste Paranaense
324,Ouro Verde do Oeste,Oeste Paranaense
325,Palotina,Oeste Paranaense
