Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Cruzeiro do Sul,2021,2167.76,2187.5,2141.21,0.42,74703,618911,74.7,618.91,97.88
Cruzmaltina,2021,2506.73,2463.5,2574.08,0.38,45550,496464,45.55,496.46,104.49
Curitiba,2021,4220.87,4551.5,3874.94,0.57,342702,1127100,342.7,1127.1,85.14
Curiúva,2021,1959.6,2012.62,1897.02,0.45,42126,497389,42.13,497.39,94.26
Diamante do Norte,2021,2427.93,2445.81,2410.44,0.45,90009,730236,90.01,730.24,98.55
Diamante do Sul,2021,1996.12,1937.92,2062.28,0.46,20442,496416,20.44,496.42,106.42
Diamante D'Oeste,2021,2292.49,2343.74,2239.39,0.51,45276,570386,45.28,570.39,95.55
Dois Vizinhos,2021,2609.33,2752.21,2419.09,0.48,123016,721910,123.02,721.91,87.9
Douradina,2021,3018.14,3402.77,2484.76,0.44,407353,2503684,407.35,2503.68,73.02
Doutor Camargo,2021,2168.05,2365.64,1990.8,0.4,87829,667703,87.83,667.7,84.15
Doutor Ulysses,2021,2170.65,2226.7,2114.6,0.5,17812,376013,17.81,376.01,94.97
Enéas Marques,2021,2397.76,2530.07,2177.14,0.6,68781,617362,68.78,617.36,86.05
Engenheiro Beltrão,2021,2264.66,2442.7,2055.25,0.45,85151,609261,85.15,609.26,84.14
Entre Rios do Oeste,2021,2566.33,2734.28,2359.17,0.5,129959,741976,129.96,741.98,86.28
Esperança Nova,2021,2281.53,2320.28,2239.88,0.39,52264,521080,52.26,521.08,96.53
Espigão Alto do Iguaçu,2021,1929.36,2129.58,1723.59,0.58,37452,565697,37.45,565.7,80.94
Farol,2021,2631.77,2751.85,2471.42,0.5,63965,563821,63.97,563.82,89.81
Faxinal,2021,2334.44,2420.66,2232.59,0.49,69947,704592,69.95,704.59,92.23
Fazenda Rio Grande,2021,2823.81,2923.24,2686.43,0.49,81804,428597,81.8,428.6,91.9
Fênix,2021,2219.19,2415.46,2021.75,0.44,59185,535257,59.19,535.26,83.7
Fernandes Pinheiro,2021,2371.14,2364.89,2378.17,0.55,42597,634656,42.6,634.66,100.56
Figueira,2021,2385.4,2492.12,2214.83,0.46,69662,501514,69.66,501.51,88.87
Flor da Serra do Sul,2021,2081.75,2148.3,2023.17,0.46,44752,604092,44.75,604.09,94.18
Floraí,2021,2159.08,2204.4,2090.74,0.43,96264,769173,96.26,769.17,94.84
Floresta,2021,2227.55,2246.13,2210.21,0.37,167957,865817,167.96,865.82,98.4
Florestópolis,2021,2206.89,2378.05,1844.13,0.34,61084,494590,61.08,494.59,77.55
Flórida,2021,2567.84,2380.72,2739.84,0.39,98324,637926,98.32,637.93,115.08
Formosa do Oeste,2021,2386.46,2432.59,2337.53,0.42,159897,743117,159.9,743.12,96.09
