Localidade,Ano,Rendimento Médio (RAIS) - Total (R$ 1.00),Rendimento Médio (RAIS) - Masculino (R$ 1.00),Rendimento Médio (RAIS) - Feminino (R$ 1.00),Índice de Gini da Renda Domiciliar per Capita (2010),Renda Média da População (R$) ,Renda Média dos Declarantes (R$)
Guaíra,2021,2508.31,2591.24,2415.69,"0,5752",130761,1029214
Guairaçá,2021,2550.67,2515.03,2605.67,"0,4548",53209,584155
Guamiranga,2021,2114.12,2061.19,2172.46,"0,4615",22710,581672
Guapirama,2021,2044.18,2049.15,2037.41,"0,4657",62634,472123
Guaporema,2021,2326.2,2453.6,2244.61,"0,3738",62295,576875
Guaraci,2021,2046.56,2308.07,1658.75,"0,3813",58058,499320
Guaraniaçu,2021,2388.21,2413.82,2357.49,"0,5452",82195,648696
Guarapuava,2021,2982.4,2991.2,2970.01,"0,5555",156616,971371
Guaraqueçaba,2021,1958.51,2029.66,1865.91,"0,4959",29706,473920
Guaratuba,2021,2423.68,2365.57,2475.22,"0,5583",103246,672893
Honório Serpa,2021,2665.5,2801.18,2466.18,"0,476",45359,498266
Ibaiti,2021,1941.17,1968.46,1902.35,"0,6311",67834,583300
Ibema,2021,2234.13,2301.08,2168.35,"0,4402",45186,569968
Ibiporã,2021,2646.22,2720.62,2530.18,"0,4782",89441,601120
Icaraíma,2021,2220.94,2202.48,2246.14,"0,4263",82409,781527
Iguaraçu,2021,2294.56,2430.66,2115.84,"0,4155",96354,632857
Iguatu,2021,2141.14,2184.58,2099.17,"0,4678",44545,536686
Imbaú,2021,2423.27,2437.46,2408.37,"0,433",38414,454337
Imbituva,2021,2223.24,2283.59,2121.74,"0,5191",53975,714895
Inácio Martins,2021,2024.81,2062.59,1961.18,"0,5182",25552,503837
Inajá,2021,2261.61,2256.77,2265.33,"0,4383",48262,594401
Indianópolis,2021,2280.73,2447.94,2062.24,"0,355",70252,551278
Ipiranga,2021,2306.77,2259.55,2385.23,"0,536",36793,457322
Iporã,2021,2367.25,2451.98,2254.71,"0,4479",78540,705172
Iracema do Oeste,2021,2318.53,2354.46,2280.06,"0,4083",80595,650246
Irati,2021,2344.94,2434.67,2236.22,"0,493",100473,786682
Iretama,2021,2374.01,2480.5,2245.14,"0,5843",47664,598641
Itaguajé,2021,2320.41,2288.06,2351.92,"0,4137",64284,558213
Itaipulândia,2021,2847.89,2811.42,2890.2,"0,6303",72697,620895
Itambaracá,2021,2258.97,2314.6,2187.04,"0,4228",73263,707672
Itambé,2021,2237.61,2259.22,2216.41,"0,3638",121742,870867
Itapejara d'Oeste,2021,2312.77,2493.42,2089.73,"0,4938",76904,603160
Itaperuçu,2021,1914.92,1870.22,1991.67,"0,4062",26785,394854
Itaúna do Sul,2021,2309.27,2384.0,2248.02,"0,384",63376,493695
Ivaí,2021,2078.86,2093.6,2058.14,"0,509",29627,553879
Ivaiporã,2021,2325.51,2411.19,2242.15,"0,4882",111901,791837
Ivaté,2021,2538.91,2635.78,2323.38,"0,3821",51694,576397
Ivatuba,2021,2467.29,2840.81,2193.59,"0,4392",127859,833497
Jaboti,2021,2026.19,2046.01,2005.69,"0,4843",53108,613581
Jacarezinho,2021,2705.44,2844.0,2518.46,"0,5404",112314,708670
Jaguapitã,2021,2416.9,2618.55,2196.26,"0,4048",86130,682582
Jaguariaíva,2021,2481.82,2679.44,2095.95,"0,5167",80202,614444
Jandaia do Sul,2021,2398.32,2535.36,2199.07,"0,4574",128716,710885
Janiópolis,2021,2440.01,2360.72,2550.05,"0,5043",73380,713494
Japira,2021,2300.66,2143.6,2450.91,"0,4776",47621,591361
Japurá,2021,2472.46,2674.4,2187.62,"0,3558",116222,905009
Jardim Alegre,2021,2233.09,2267.6,2176.26,"0,6144",71354,631025
Jardim Olinda,2021,2149.67,2186.95,2099.8,"0,4443",80361,731560
Jataizinho,2021,2339.4,2272.17,2431.85,"0,4673",51897,475619
Jesuítas,2021,2301.21,2417.99,2142.59,"0,4271",132222,706939
Joaquim Távora,2021,2280.78,2422.44,2106.15,"0,4346",189980,1388601
Jundiaí do Sul,2021,2312.88,2063.48,2686.19,"0,4992",70656,708515
Juranda,2021,2265.17,2406.06,2070.05,"0,4457",99241,811280
Jussara,2021,2619.25,2691.75,2427.81,"0,457",84000,552754
Kaloré,2021,1943.31,2134.87,1724.39,"0,3967",68019,502320
Lapa,2021,2529.72,2617.74,2419.8,"0,4947",84669,616367
Laranjal,2021,1834.4,1804.12,1874.27,"0,4878",18952,401538
Laranjeiras do Sul,2021,2292.99,2344.5,2231.93,"0,5462",96227,735465
Leópolis,2021,2575.47,2587.36,2558.87,"0,3898",60312,559630
Lidianópolis,2021,2180.32,2224.22,2128.44,"0,4063",55839,524464
Lindoeste,2021,2331.21,2405.53,2246.53,"0,5291",46839,513330
Loanda,2021,2226.64,2300.57,2141.34,"0,4721",87037,644449
Lobato,2021,2532.22,2729.84,2311.58,"0,3836",103064,650087
Londrina,2021,3112.39,3303.78,2896.78,"0,5226",214406,970236
Luiziana,2021,2487.82,2634.5,2132.51,"0,4857",45786,545220
Lunardelli,2021,2297.64,2267.12,2325.79,"0,4599",58155,580812
Lupionópolis,2021,2217.64,2438.26,2028.3,"0,4883",67488,638099
Mallet,2021,2677.85,2896.96,2352.92,"0,4737",75511,634503
Mamborê,2021,2309.88,2538.92,1803.09,"0,5072",166612,1014168
Mandaguaçu,2021,2317.47,2393.28,2221.0,"0,4094",92027,551731
Mandaguari,2021,2558.17,2892.97,2160.9,"0,4513",108611,637968
Mandirituba,2021,2405.81,2415.55,2388.16,"0,4767",53796,606955
Manfrinópolis,2021,2204.12,2322.91,2060.92,"0,4733",28467,509565
Mangueirinha,2021,2407.17,2691.73,2101.86,"0,5789",75225,684471
Manoel Ribas,2021,2562.67,2961.88,2102.21,"0,5999",61182,641750
Marechal Cândido Rondon,2021,2768.8,3061.57,2458.14,"0,5416",156002,764506
Maria Helena,2021,2156.38,2141.77,2175.07,"0,4171",52029,683287
Marialva,2021,2683.89,2822.8,2456.53,"0,4399",123402,659249
Marilândia do Sul,2021,2439.61,2593.99,2229.33,"0,4443",65070,637961
Marilena,2021,1962.16,2063.23,1893.22,"0,3613",37014,504251
Mariluz,2021,2483.79,2508.02,2453.58,"0,4619",42716,595026
Maringá,2021,2977.5,3150.92,2772.74,"0,4937",237573,980116
Mariópolis,2021,2440.19,2672.06,2146.82,"0,4859",75235,580185
Maripá,2021,2571.2,2838.8,2242.78,"0,4254",198567,925210
Marmeleiro,2021,2584.35,2656.65,2467.1,"0,5108",71996,595977
